Total population,Total households,PCT WHITE COLLAR,PCT BLUE COLLAR,Median income,Mean income,id,Geographic Area Name
2383,878,46.9,53.1,43750,48831,1400000US48027023201,"Census Tract 232.01, Bell County, Texas"
9117,1527,51.2,48.8,35790,39226,1400000US48027023202,"Census Tract 232.02, Bell County, Texas"
2820,892,79.1,21,34155,34359,1400000US48027023203,"Census Tract 232.03, Bell County, Texas"
4374,856,67.1,32.9,38810,41185,1400000US48027023204,"Census Tract 232.04, Bell County, Texas"
5841,2381,59.9,40.2,67608,76593,1400000US48027023300,"Census Tract 233, Bell County, Texas"
3590,1783,52.9,47.1,47438,61403,1400000US48027023402,"Census Tract 234.02, Bell County, Texas"
4775,2083,66.1,34,84688,106957,1400000US48027023403,"Census Tract 234.03, Bell County, Texas"
2889,1295,64.8,35.2,49306,59688,1400000US48027023404,"Census Tract 234.04, Bell County, Texas"
2510,1374,27.9,72.1,27196,30934,1400000US48027023500,"Census Tract 235, Bell County, Texas"
701,63,#VALUE!,#VALUE!,27614,N,1400000US48027980001,"Census Tract 9800.01, Bell County, Texas"
0,0,#VALUE!,#VALUE!,-,-,1400000US48027980002,"Census Tract 9800.02, Bell County, Texas"
0,0,#VALUE!,#VALUE!,-,-,1400000US48027980003,"Census Tract 9800.03, Bell County, Texas"
2554,1891,76.7,23.3,24922,69660,1400000US48029110100,"Census Tract 1101, Bexar County, Texas"
2959,1343,43.4,56.7,20841,33447,1400000US48029110300,"Census Tract 1103, Bexar County, Texas"
2227,869,55,44.9,11172,17675,1400000US48029110500,"Census Tract 1105, Bexar County, Texas"
10010,1389,24.1,75.9,19934,26034,1400000US48029110600,"Census Tract 1106, Bexar County, Texas"
1449,725,26.1,73.8,20625,28149,1400000US48029110700,"Census Tract 1107, Bexar County, Texas"
1624,1209,66.8,33.1,20121,27059,1400000US48029110800,"Census Tract 1108, Bexar County, Texas"
335,247,79.3,20.7,15650,20948,1400000US48029110900,"Census Tract 1109, Bexar County, Texas"
1890,995,39.5,60.5,22083,27198,1400000US48029111000,"Census Tract 1110, Bexar County, Texas"
7136,886,54.3,45.7,55375,69777,1400000US48029120100,"Census Tract 1201, Bexar County, Texas"
7020,3769,88.5,11.5,104668,144269,1400000US48029120300,"Census Tract 1203, Bexar County, Texas"
5784,2543,91.5,8.5,116399,194211,1400000US48029120400,"Census Tract 1204, Bexar County, Texas"
8151,3536,43.9,56.1,35082,44590,1400000US48029120501,"Census Tract 1205.01, Bexar County, Texas"
4932,2149,43,57.1,31140,37654,1400000US48029120502,"Census Tract 1205.02, Bexar County, Texas"
5642,3377,72,27.9,44790,62157,1400000US48029120600,"Census Tract 1206, Bexar County, Texas"
5179,2418,61.8,38.2,32304,48614,1400000US48029120701,"Census Tract 1207.01, Bexar County, Texas"
4580,2577,87.8,12.2,70878,93286,1400000US48029120702,"Census Tract 1207.02, Bexar County, Texas"
6908,3037,80.9,19,72045,98501,1400000US48029120800,"Census Tract 1208, Bexar County, Texas"
2413,1039,77.6,22.3,43832,66735,1400000US48029120901,"Census Tract 1209.01, Bexar County, Texas"
6224,3799,70.6,29.4,44108,74969,1400000US48029120902,"Census Tract 1209.02, Bexar County, Texas"
7670,3083,52.6,47.5,47917,58993,1400000US48029121000,"Census Tract 1210, Bexar County, Texas"
7389,3472,78.5,21.5,66781,77014,1400000US48029121108,"Census Tract 1211.08, Bexar County, Texas"
5021,1784,68.5,31.5,65725,71509,1400000US48029121110,"Census Tract 1211.10, Bexar County, Texas"
5991,2556,64.2,35.8,56389,66907,1400000US48029121111,"Census Tract 1211.11, Bexar County, Texas"
3676,2039,72.4,27.6,53281,65105,1400000US48029121112,"Census Tract 1211.12, Bexar County, Texas"
5094,2259,85.4,14.6,76625,89146,1400000US48029121115,"Census Tract 1211.15, Bexar County, Texas"
4965,2424,75.9,24.1,47159,65607,1400000US48029121116,"Census Tract 1211.16, Bexar County, Texas"
